Wetland Plant List - Adapted for Alberta,,Regional Plant List - US Army Corps of Engineers,,,,
Scientific Name (ACIMS),Common Name (ACIMS),WMVC,GP,NCNE,AK,At least 1 Indicator Status?
Abies balsamea,balsam fir,,FAC,FAC,,Y
Abies bifolia,subalpine fir,FACU,,,,Y
Abutilon theophrasti,velvetleaf,FACU,UPL,FACU,,Y
Acer glabrum,mountain maple,FACU,FAC,,FACU,Y
Acer negundo,Manitoba maple,FAC,FAC,FAC,,Y
Achillea alpina,many-flowered yarrow,,,,,N
Achillea millefolium,common yarrow,FACU,FACU,FACU,FACU,Y
Achillea ptarmica,sneezewort yarrow,FACU,FACU,FACU,FACU,Y
Achnatherum hymenoides,Indian rice grass,UPL,FACU,FACU,,Y
Achnatherum nelsonii,Nelson's needlegrass,UPL,UPL,,,Y
Achnatherum richardsonii,Richardson needle grass,UPL,FACU,,FACU,Y
Aconitum delphiniifolium,monkshood,,,,FAC,Y
Acorus americanus,sweet flag,OBL,OBL,OBL,OBL,Y
Actaea rubra,red and white baneberry,FACU,FACU,FACU,FAC,Y
Adenocaulon bicolor,pathfinder,,,,,N
Adiantum aleuticum,western maidenhair fern,FAC,FAC,FACU,FAC,Y
Adoxa moschatellina,moschatel,FAC,FAC,FAC,FAC,Y
Agastache foeniculum,giant hyssop,,,,,N
Agoseris aurantiaca,orange false dandelion,FACU,,,FAC,Y
Agoseris glauca,yellow false dandelion,FAC,FACU,FACU,FAC,Y
Agoseris lackschewitzii,pink false dandelion,,,,,N
Agrimonia striata,agrimony,FACU,FACU,FACU,,Y
Agropyron cristatum,crested wheatgrass,,,,,N
Agropyron fragile,Siberian wheatgrass,,,,,N
Agropyron x brevifolium,wheatgrass hybrid,,,,,N
Agrostemma githago,common corncockle,,,,,N
Agrostis exarata,spike redtop,FACW,FACW,FAC,FACW,Y
Agrostis gigantea,giant bentgrass,FAC,FACW,FACW,FAC,Y
Agrostis mertensii,northern bent grass,FACU,FACU,FACU,FACU,Y
Agrostis scabra,rough hair grass,FAC,FAC,FAC,FAC,Y
Agrostis stolonifera,redtop,FAC,FACW,FACW,FAC,Y
Agrostis variabilis,alpine redtop,,,,,N
Alisma gramineum,narrow-leaved water-plantain,OBL,OBL,OBL,,Y
Alisma triviale,broad-leaved water-plantain,OBL,OBL,OBL,OBL,Y
Alliaria petiolata,garlic mustard,FACU,FACU,FACU,FACU,Y
Allium cernuum,nodding onion,FACU,UPL,FACU,,Y
Allium geyeri,Geyer's onion,FACU,FACU,,,Y
Allium schoenoprasum,wild chives,FACW,FACU,FACU,FAC,Y
Allium textile,prairie onion,,,,,N
Almutaster pauciflorus,few-flowered aster,FACW,FACW,,,Y
Alnus incana,alder,FACW,FACW,FACW,FAC,Y
Alnus viridis,green alder,FACW,FAC,FAC,FAC,Y
Alopecurus aequalis,short-awned foxtail,OBL,OBL,OBL,OBL,Y
Alopecurus arundinaceus,creeping foxtail,FAC,FACW,,,Y
Alopecurus carolinianus,Carolina foxtail,FACW,FACW,FACW,,Y
Alopecurus geniculatus,water foxtail,OBL,OBL,OBL,OBL,Y
Alopecurus magellanicus,alpine foxtail,FACW,FACW,,FACW,Y
Alopecurus pratensis,meadow foxtail,FAC,FACW,FAC,FACW,Y
Alyssum alyssoides,small alyssum,,,,,N
Alyssum desertorum,desert alyssum,,,,,N
Alyssum murale,yellow alyssum,,,,,N
Amaranthus albus,white amaranth,FACU,FACU,FACU,FACU,Y
Amaranthus blitoides,prostrate amaranth,FAC,FAC,FACU,UPL,Y
Amaranthus californicus,Californian amaranth,FACW,FACW,,,Y
Amaranthus powellii,Powell's amaranth,,,,,N
Amaranthus retroflexus,red-root pigweed,FACU,FACU,FACU,UPL,Y
Ambrosia acanthicarpa,bur ragweed,,,,,N
Ambrosia artemisiifolia,common ragweed,FACU,FACU,FACU,FACU,Y
Ambrosia psilostachya,perennial ragweed,FACU,FACU,FAC,,Y
Ambrosia trifida,great ragweed,FAC,FAC,FAC,FAC,Y
Amelanchier alnifolia,saskatoon,FACU,FACU,FACU,UPL,Y
Amphiscirpus nevadensis,Nevada bulrush,,,,,N
Amsinckia menziesii,fiddle-neck,,,,,N
Anaphalis margaritacea,pearly everlasting,FACU,FACU,FACU,UPL,Y
Andromeda polifolia,bog rosemary,OBL,OBL,OBL,FACW,Y
