,,,,,,,,,SUBNATION_NAME,NAME_CATEGORY_DESC,ELCODE,FAMILY,Scientific Name,Common Name,SNAME [ACIMS],ORIGIN,TreeTime,SeedTime,GCOMNAME,S_RANK,N_RANK,G_RANK,ORIGIN,CURRENT_PRESENCE_ABSENCE,TRACK_STATUS,,,,GNAME
,,,,,,,,,Alberta,Vascular Plant,PGPIN01020,Pinaceae,Abies balsamea,balsam fir,Abies balsamea,Native,TRUE,FALSE,Balsam Fir,S5,N5,G5,Native,Present,Do not track,,,,Abies balsamea
,,,,,,,,,Alberta,Vascular Plant,PGPIN010D0,Pinaceae,Abies bifolia,subalpine fir,Abies bifolia,Native,TRUE,FALSE,Rocky Mountain Alpine Fir,S5,N4N5,G5,Native,Present,Do not track,,,,Abies bifolia
,,,,,,,,,Alberta,Vascular Plant,PDMAL020N0,Malvaceae,Abutilon theophrasti,velvetleaf,Abutilon theophrasti,Exotic,FALSE,FALSE,Velvetleaf,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Abutilon theophrasti
,,,,,,,,,Alberta,Vascular Plant,PDACE01050,Aceraceae,Acer glabrum,mountain maple,Acer glabrum,Native,TRUE,TRUE,Mountain Maple,S3,N5,G5,Native,Present,Do not track,,,,Acer glabrum
,,,,,,,,,Alberta,Vascular Plant,PDACE01052,Aceraceae,Acer glabrum var. douglasii,Douglas maple,Acer glabrum var. douglasii,Native,TRUE,FALSE,Douglas Maple,S3,N5,G5T5,Native,Present,Do not track,,,,Acer glabrum var. douglasii
,,,,,,,,,Alberta,Vascular Plant,PDACE01090,Aceraceae,Acer negundo,Manitoba maple,Acer negundo,Native,TRUE,FALSE,Box-elder,SU,N5,G5,Native,Present,Do not track,,,,Acer negundo
,,,,,,,,ALCLA,Alberta,Vascular Plant,PDAST03060,Asteraceae,Achillea alpina,many-flowered yarrow,Achillea alpina,Native,FALSE,FALSE,Siberian Yarrow,S5,N5,G5,Native,Present,Do not track,,,,Achillea sibirica
,,,ALCLA,Medieval Manor Gardens,Edmonton Native Plant Society,Prairie Flora Greenhouse,Arnica Wildflowers,Sunstar Nurseries Ltd.,Alberta,Vascular Plant,PDAST03030,Asteraceae,Achillea millefolium,common yarrow,Achillea millefolium,Native,FALSE,FALSE,Common Yarrow,S5,N5,G5,Native,Present,Do not track,,,,Achillea millefolium
,,,,,,,,,Alberta,Vascular Plant,PDAST03050,Asteraceae,Achillea ptarmica,sneezewort yarrow,Achillea ptarmica,Exotic,FALSE,FALSE,False Sneezewort,SNA,NNA,GNR,Exotic,Present,Do not track,,,,Achillea ptarmica
,,,,,,,Southern Oasis Enterprises,BrettYoung,Alberta,Vascular Plant,PMPOA4J050,Poaceae,Achnatherum hymenoides,Indian rice grass,Achnatherum hymenoides,Native,FALSE,FALSE,Indian Mountain-ricegrass,S3,N4N5,G5,Native,Present,Do not track,,,,Achnatherum hymenoides
,,,,,,,,,Alberta,Vascular Plant,PMPOA5X180,Poaceae,Achnatherum nelsonii,Nelson's needlegrass,Achnatherum nelsonii,Native,FALSE,FALSE,Nelson's Needlegrass,S5,N5,G5,Native,Present,Do not track,,,,Achnatherum nelsonii
,,,,,,,,,Alberta,Vascular Plant,PMPOA5X181,Poaceae,Achnatherum nelsonii ssp. dorei,Columbia needle grass,Achnatherum nelsonii ssp. dorei,Native,FALSE,FALSE,Columbia Needlegrass,S5,N4N5,G5T5?,Native,Present,Do not track,,,,Achnatherum nelsonii ssp. dorei
,,,,,,,,ALCLA,Alberta,Vascular Plant,PMPOA5X0V0,Poaceae,Achnatherum richardsonii,Richardson needle grass,Achnatherum richardsonii,Native,FALSE,FALSE,Canada Mountain-ricegrass,S5,N5,G5,Native,Present,Do not track,,,,Achnatherum richardsonii
,,,,,,,,,Alberta,Vascular Plant,PDRAN01020,Ranunculaceae,Aconitum delphiniifolium,monkshood,Aconitum delphiniifolium,Native,FALSE,FALSE,Larkspurleaf Monkshood,S3,N5,G5,Native,Present,Do not track,,,,Aconitum delphiniifolium
,,,,,,,,K&S Growers,Alberta,Vascular Plant,PMACO01010,Acoraceae,Acorus americanus,sweet flag,Acorus americanus,Native,FALSE,FALSE,American Sweetflag,S3,N5,G5,Native,Present,Do not track,,,,Acorus americanus
,,,,,,,,ALCLA,Alberta,Vascular Plant,PDRAN02020,Ranunculaceae,Actaea rubra,red and white baneberry,Actaea rubra,Native,FALSE,FALSE,Red Baneberry,S5,N5,G5,Native,Present,Do not track,,,,Actaea rubra
,,,,,,,,,Alberta,Vascular Plant,PDAST06010,Asteraceae,Adenocaulon bicolor,pathfinder,Adenocaulon bicolor,Native,FALSE,FALSE,American Trailplant,S2,N5,G5,Native,Present,Track all extant and selected historical EOs,,,,Adenocaulon bicolor
,,,,,,,,,Alberta,Vascular Plant,PPADI030Q0,Pteridaceae,Adiantum aleuticum,western maidenhair fern,Adiantum aleuticum,Native,FALSE,FALSE,Aleutian Maidenhair Fern,S2,N4,G5?,Native,Present,Track all extant and selected historical EOs,,,,Adiantum aleuticum
,,,,,,,,,Alberta,Vascular Plant,PDADO01010,Adoxaceae,Adoxa moschatellina,moschatel,Adoxa moschatellina,Native,FALSE,FALSE,Muskroot,S4,N5,G5,Native,Present,Do not track,,,,Adoxa moschatellina
,,,ALCLA,K&S Growers,Medieval Manor Gardens,Edmonton Native Plant Society,Prairie Flora Greenhouse,Arnica Wildflowers,Alberta,Vascular Plant,PDLAM03040,Lamiaceae,Agastache foeniculum,giant hyssop,Agastache foeniculum,Native,FALSE,FALSE,Blue Giant-hyssop,S4,N5,G5,Native,Present,Do not track,,,,Agastache foeniculum
,,,,,,,,,Alberta,Vascular Plant,PDAST09030,Asteraceae,Agoseris aurantiaca,orange false dandelion,Agoseris aurantiaca,Native,FALSE,FALSE,Orange-flower False Dandelion,S4,N5,G5,Native,Present,Do not track,,,,Agoseris aurantiaca
,,,,,,,,,Alberta,Vascular Plant,PDAST09033,Asteraceae,Agoseris aurantiaca var. aurantiaca,orange false dandelion,Agoseris aurantiaca var. aurantiaca,Native,FALSE,FALSE,Orange-flower False Dandelion,S4,N4N5,G5T4T5,Native,Present,Do not track,,,,Agoseris aurantiaca var. aurantiaca
,,,,,,,Medieval Manor Gardens,Edmonton Native Plant Society,Alberta,Vascular Plant,PDAST090G0,Asteraceae,Agoseris glauca,yellow false dandelion,Agoseris glauca,Native,FALSE,FALSE,Pale Goat-chicory,S5,N5,G5,Native,Present,Do not track,,,,Agoseris glauca
,,,,,,,,,Alberta,Vascular Plant,PDAST09072,Asteraceae,Agoseris glauca var. dasycephala,alpine agoseris,Agoseris glauca var. dasycephala,Native,FALSE,FALSE,Pale Goat-chicory,SU,N4N5,G5T5,Native,Present,Do not track,,,,Agoseris glauca var. dasycephala
,,,,,,,,,Alberta,Vascular Plant,PDAST09073,Asteraceae,Agoseris glauca var. glauca,yellow false dandelion,Agoseris glauca var. glauca,Native,FALSE,FALSE,Pale Goat-chicory,SU,N5,G5T5,Native,Present,Do not track,,,,Agoseris glauca var. glauca
,,,,,,,,,Alberta,Vascular Plant,PDAST090C0,Asteraceae,Agoseris lackschewitzii,pink false dandelion,Agoseris lackschewitzii,Native,FALSE,FALSE,Pink Agoseris,S3,N2N3,G4Q,Native,Present,Track all extant and selected historical EOs,,,,Agoseris lackschewitzii
,,,,,,,,Arnica Wildflowers,Alberta,Vascular Plant,PDROS030A0,Rosaceae,Agrimonia striata,agrimony,Agrimonia striata,Native,FALSE,FALSE,Woodland Agrimony,S4,N5,G5,Native,Present,Do not track,,,,Agrimonia striata
