Scientific Name –ITIS (2014),Common Name ACMIS (2013),Wetland Classes,Stratum
Betula neoalaskana Sarg.,Alaska birch,S,Tree
Betula papyrifera Marsh.,white birch,S,Tree
Larix laricina (Du Roi) K. Koch,tamarack,"F, S",Tree
Picea mariana (Mill.) BSP.,black spruce,"B, F, S",Tree
Populus angustifolia James,narrow-leaf cottonwood,S,Tree
Populus balsamifera L.,balsam poplar,S,Tree
Populus deltoides Bartr. ex Marsh.,plains cottonwood,S,Tree
Alnus incana ssp. tenuifolia (Nutt.) Breitung,river alder,S,Shrub
Alnus viridis (Vill.) Lam. & DC.,green alder,S,Shrub
Andromeda polifolia L.,bog rosemary,"B, F, S",Shrub
Betula glandulosa Michx.,bog birch,F,Shrub
Betula occidentalis Hook.,water birch,"F, S",Shrub
Betula pumila L.,dwarf birch,"B, F, S",Shrub
Chamaedaphne calyculata (L.) Moench,leatherleaf,"B, F",Shrub
Cornus sericea L.,red-osier dogwood,S,Shrub
Elaeagnus commutata Bernh. ex Rydb.,silverberry,S,Shrub
Empetrum nigrum L.,crowberry,"B, F",Shrub
Gaultheria hispidula (L.) Muhl. ex Bigelow,creeping snowberry,"B, F, S",Shrub
Kalmia microphylla (Hook.)  Heller,mountain laurel,"B, F",Shrub
Kalmia polifolia Wang.,northern laurel,"B, F, S",Shrub
Linnaea borealis L.,twinflower,"B, F, S",Shrub
Lonicera caerulea L.,fly honeysuckle,"B, F, S",Shrub
Lonicera dioica L.,twining honeysuckle,S,Shrub
Lonicera involucrata (Richardson) Banks,bracted honeysuckle,"F, S",Shrub
Lycopodium annotinum L.,stiff club-moss,"B, F, S",Shrub
Myrica gale L.,sweet gale,"F, S",Shrub
Prunus virginiana L.,choke cherry,S,Shrub
Rhamnus alnifolia L'Her.,alder-leaved buckthorn,"F, S",Shrub
Rhododendron groenlandicum Oeder,common Labrador tea,"B, F, S",Shrub
Rhododendron tomentosum Harmaja,northern Labrador tea,B,Shrub
Ribes americanum P. Mill.,wild black currant,S,Shrub
Ribes glandulosum Grauer,skunk currant,S,Shrub
Ribes hudsonianum Richards.,northern black currant,"F, S",Shrub
Ribes lacustre (Pers.) Poir.,bristly black currant,"F, S",Shrub
Ribes triste Pall.,wild red currant,"F, S",Shrub
Rubus idaeus L.,wild red raspberry,"B, F, S",Shrub
Salix arbusculoides Andersson,shrubby willow,"F, S",Shrub
Salix bebbiana Sarg.,beaked willow,"F, S",Shrub
Salix candida Flüggé ex Willd.,hoary willow,"F, S",Shrub
Salix discolour Muhl.,pussy willow,"F, S",Shrub
Salix exigua Nutt.,sandbar willow,"F, S",Shrub
Salix glauca L.,smooth willow,"F, S",Shrub
Salix lucida Muhl.,shiny willow,"F, S",Shrub
Salix maccalliana Rowlee,velvet-fruited willow,"F, S",Shrub
Salix pedicellaris Pursh,bog willow,"F, S",Shrub
Salix petiolaris J.E. Sm.,basket willow,F,Shrub
Salix planifolia Pursh,flat-leaved willow,"F, S",Shrub
Salix pyrifolia Andersson,balsam willow,"F, S",Shrub
Salix scouleriana Barratt ex Hook.,Scouler willow,"F, S",Shrub
Salix serissima (Bailey) Fernald,autumn willow,F,Shrub
Sambucus racemosa L.,red elderberry,S,Shrub
Sarcobatus vermiculatus (Hook.) Torr.,greasewood,M,Shrub
Spiraea alba Du Roi,narrow-leaved meadowsweet,"F, S",Shrub
Vaccinium oxycoccos L.,small bog cranberry,"B, F, S",Shrub
Vaccinium vitis-idaea L.,bog cranberry,"B, F, M, S",Shrub
Viburnum edule (Michx.) Raf.,low-bush cranberry,S,Shrub
Viburnum opulus var. americanum Aiton,high bush-cranberry,"F, S",Shrub
Achillea millefolium L.,common yarrow,"M, S",Ground
Actaea rubra (Ait.) Willd.,red and white baneberry,S,Ground
Adoxa moschatellina L.,moschatel,S,Ground
Agrimonia striata Michx.,agrimony,M,Ground
Agoseris glauca (Pursh) Raf.,yellow false dandelion,M,Ground
Alisma gramineum Lej.,narrow-leaved water-plantain,M,Ground
Alisma plantago-aquatica L.,broad-leaved water-plantain,M,Ground
Alisma triviale Pursh,broad-leaved water-plantain,M,Ground
Allium schoenoprasum L.,wild chives,M,Ground
Almutaster pauciflorus (Nutt.) A. & D. Löve,few-flower aster,"M, W",Ground
Amaranthus retroflexus L.,red-root pigweed,M,Ground
Ambrosia psilostachya DC,perennial ragweed,M,Ground
Androsace occidentalis Pursh.,western fairy candelabra,M,Ground
Anemone canadensis L.,Canada anemone,"M, S",Ground
Anemone quinquefolia L.,wood anemone,S,Ground
Apocynum cannabinum L.,Indian hemp,M,Ground
Aralia nudicaulis L.,wild sarsaparilla,"F, S",Ground
Arnica chamissonis Less.,leafy arnica,"F, M, W",Ground
Artemisia biennis Willd.,biennial sagewort,M,Ground
Artemisia ludoviciana Nutt.,prairie sagewort,M,Ground
Astragalus alpinus L.,alpine milk vetch,M,Ground
Astragalus americanus (Hook.) Jones,American milk vetch,"M, S",Ground
Astragalus canadensis L.,Canadian milk vetch,M,Ground
Atriplex argentea Nutt.,silver saltbrush,"M, W",Ground
Atriplex micrantha Mey.,saltbush,M,Ground
Atriplex powellii S. Wats.,Powell's saltbush,M,Ground
Atriplex prostrata Bouchér ex DC.,prostrate saltbush,M,Ground
Atriplex subspicata (Nutt.) Rydb.,spearscale saltbush,"M, W",Ground
Atriplex truncata (Torr. ex S. Wats.) A. Gray,saltbush,"M, W",Ground
Bacopa rotundifolia (Michx.) Wettst.,water hyssop,M,Ground
Barbarea orthoceras Ledeb.,American winter cress,M,Ground
Bidens cernua L.,nodding beggarticks,"M, F, S",Ground
Bidens frondosa L.,common beggarticks,M,Ground
Bistorta vivipara (L.) Delarbre,alpine bistort,M,Ground
Brasenia schreberi J.F. Gmel.,watershield,"F, M, W",Ground
Calla palustris L.,water arum,"F, M, S",Ground
Callitriche hermaphroditica L.,northern water-starwort,"M, W",Ground
Callitriche palustris L.,vernal water-starwort,"F, M",Ground
Caltha natans Pall. ex Georgi,floating marsh-marigold,"F, M, W",Ground
Caltha palustris L.,marsh marigold,"F, M, S",Ground
Canadanthus modestus (Lindl.) Nesom,large northern aster,"F, M",Ground
Capsella bursa-pastoris (L.) Medik.,shepherd's purse,M,Ground
Cardamine pensylvanica Muhl. ex Willd.,bittercress,"M, S",Ground
Cardamine pratensis L.,meadow bitter cress,M,Ground
Castilleja raupii Pennell,purple paintbrush,M,Ground
Cerastium arvense L.,field mouse-ear chickweed,M,Ground
Chamerion angustifolium ssp. angustifolium (L.) Holub,common fireweed,"F, M, S",Ground
Chamerion latifolium (L.) Holub,broad-leaved fireweed,"M, F",Ground
Chenopodium album L.,lamb's quarters,M,Ground
Chenopodium capitatum Aschers,strawberry blite,M,Ground
Chenopodium rubrum L.,red goosefoot,M,Ground
Chenopodium glaucum var. salinum (Standl.) B. Boivin,oak-leaved goosefoot,"F, M. S",Ground
Chrysosplenium iowense Rybd.,golden saxifrage,"F, M",Ground
Chrysosplenium tetrandrum (Lund) Th. Fr.,green saxifrage,"F, M",Ground
Cicuta bulbifera L.,bulb-bearing water-hemlock,"F, M, S",Ground
Cicuta maculata L.,water-hemlock,"F, M, S",Ground
Cicuta virosa L.,narrow-leaved water-hemlock,M,Ground
Cinna latifolia (Trevir. ex. Gopp) Griseb,drooping wood-reed,M,Ground
Circaea alpina L.,small enchanter's nightshade,S,Ground
Cirsium arvense (L.) Scop.,creeping thistle,"M, S",Ground
Coeloglossum viride (L.) Hartm.,bracted bog orchid,M,Ground
Comarum palustre L.,marsh cinquefoil,"B, F, M, S",Ground
Conium maculatum L.,poison hemlock,M,Ground
Corallorhiza trifida Chat,pale coralroot,"F, S",Ground
Conyza canadensis (L.) Cronquist,horseweed,M,Ground
Coptis trifolia (L.) Salisb.,goldthread,"M, S",Ground
Corydalis aurea Willd.,golden corydalis,M,Ground
Cornus canadensis L.,bunchberry,S,Ground
Crepis runcinata (James) Torr. & Gray.,scapose hawk’s-beard,M,Ground
Crepis tectorum L.,annual hawk's-beard,M,Ground
Cyclachaena xanthifolia (Nutt.) Fresen,false ragweed,"F, M, W",Ground
Cypripedium acaule Ait.,stemless lady's-slipper,"B, S",Ground
