Scientific name,Common name,Canadian distribution,Global distribution,ACIMS Status,,
Antennaria aromatica,Scented pussytoes,Alberta,Montana and Wyoming,S3,,
Aquilegia jonesii,Jones’ columbine,Alberta,Montana and Wyoming,S1,,
Atriplex canescens,Four-wing saltbush,Alberta,western US,S3,,
Carex nebrascensis,Nebraska sedge,Alberta,western and mid US,S3,,
Conimitella williamsii,Williams’ mitrewort,Alberta,"Montana, Idaho, Wyoming and Colorado",S2,,
Dichanthelium thermale,Geyser panicgrass,Alberta,global distribution unknown given taxonomic issues,S1S2,,
Douglasia montana,Rocky Mountain dwarf primrose,Alberta,"Montana, Idaho, Wyoming",S1,,
Hordeum pusillum,Little barley,Alberta,much of the continental US,SH,,
Iris missouriensis,Western blue iris,"Alberta, British Columbia (introduced)",western US,S2,,
Isoetes bolanderi,Bolander’s quillwort,Alberta,western US,S1,,
Machaeranthera tanacetifolia,Tahoka daisy,Alberta,western US,S1,,
Oxytropis lagopus,Hare’s-foot locoweed,Alberta,"Idaho, Montana, Wyoming, Nebraska",S1,,
Potentilla macounii,Macoun’s cinquefoil,Alberta,Montana,S1,,
Potentilla multisecta,Great Basin cinquefoil,Alberta,"Idaho, Montana, Nevada, Utah, Wyoming",S2,,
Potentilla subjuga,Colorado cinquefoil,Alberta,"Colorado, New Mexico",SH,,
Stellaria americana,American starwort,Alberta,Montana,S1,,
Telesonix heucheriformis,Heuchera-like boykinia,Alberta,"Montana, Idaho, South Dakota, Wyoming, Colorado, Utah and Nevada",S3,,
Thelesperma subnudum,Navajo tea,Alberta,"Arizona, Colorado, Montana, Nevada, New Mexico, North Dakota, Utah, Wyoming",S1,,
Townsendia condensata,Alpine townsendia,Alberta,"Montana, Idaho, Utah, Wyoming and California",S2,,
,,,,,,
