AB Wetland Classification Class and Form,,,,,Beckingham and Archibald 1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Boreal Mixedwood,,,,,,,Boreal Highlands,,,,,,Subarctic,,,,,,,,,Canadian Shield,,,,,
Wooded Bog,,,,,"Ecosite phase g1
(Labrador tea-subhygric Sb-Pj)
-10% of plots >80 cm organics Ecosite phase h1
(Labrador tea/horsetail Sw-Sb)
-20% of plots >40 cm organics
-Lack of Larix laricina within the recognized plant community is more suggestive of bog vegetation
Ecosite phase i1 (Treed bog)",,,,,,,"Ecosite phase h1 and h2 (Treed bog)
Ecosite phase i1 (Treed poor fen)
-Lack of Larix laricina within the recognized plant community is more suggestive of bog vegetation",,,,,,"Ecosite phase e1
(Labrador tea-hygric Sb-Pl)
-50% of plots >80 cm organics
Ecosite phase f1 (Treed bog)",,,,,,,,,Ecosite phase f1 (Treed bog),,,,,
Shrubby Bog,,,,,Ecosite phase i2 (Shrubby bog),,,,,,,Ecosite phase h2 (Shrubby bog),,,,,,Ecosite phase f2 (Shrubby bog),,,,,,,,,Ecosite phase f2 (Shrubby bog),,,,,
Wooded Fen,,,,,Ecosite phase j1 (Treed poor fen) Ecosite phase k1 | (Treed rich fen),,,,,,,"Ecosite phase i1 (Treed poor fen)
-Lack of Larix laricina within the recognized plant community is more suggestive of bog vegetation Ecosite phase j1
(Treed rich fen)",,,,,,"Ecosite phase i1 (Treed poor fen)
-60% of plots < 40 cm organics
Ecosite phase h1 (Treed rich fen)",,,,,,,,,Ecosite phase j1 (Treed poor fen) Ecosite phase k1 (Treed rich fen),,,,,
Shrubby Fen,,,,,"Ecosite phase j2 (Shrubby poor fen)
-30% of plots <40 cm organics
Ecosite phase k2 (Shrubby rich fen)
-50% of plots <40 cm organics",,,,,,,"Ecosite phase i2 (Shrubby poor fen) Ecosite phase j2 (Shrubby rich fen)
-Presence of Picea glauca tree layer not typical",,,,,,"Ecosite phase g2 (Shrubby poor fen) Ecosite phase h2 (Shrubby rich fen)
-100% of plots <40 cm organics",,,,,,,,,"Ecosite phase g2 (Shrubby poor fen)
-100% of plots <40 cm organics
Ecosite phase h2 (Shrubby rich fen)
-bryophytes not identified as part of
plant community",,,,,
AB Wetland Classification Class and Form,,,,,Beckingham and Archibald 1996,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Boreal Mixedwood,,,,,,,Boreal Highlands,,,,,,Subarctic,,,,,,,,,Canadian Shield,,,,,
Graminoid Fen,,,,,"Ecosite phase k3 (Graminoid rich fen)
-40% of plots <40 cm organics",,,,,,,"Ecosite phase h3 (Graminoid rich fen)
-40% of plots <40 cm organics",,,,,,"Ecosite phase h3 (Graminoid rich fen)
-40% of plots <40 cm organics",,,,,,,,,"Ecosite phase h3 (Graminoid rich fen)
-40% of plots <40 cm organics",,,,,
Graminoid Marsh,,,,,"Ecosite phase k3 (Graminoid rich fen)
-40% of plots have <40 cm organics
Ecosite phase l1
(Marsh)",,,,,,,"Ecosite phase h3 (Graminoid rich fen)
-40% of plots <40 cm organics",,,,,,"Ecosite phase h3 (Graminoid rich fen)
-40% of plots <40 cm organics",,,,,,,,,"Ecosite phase h3 (Graminoid rich fen)
-40% of plots <40 cm organics",,,,,
"Submersed/Floating
Shallow Open Water",,,,,Not recognized,,,,,,,Not recognized,,,,,,Not recognized,,,,,,,,,Not recognized,,,,,
Coniferous Wooded Swamp,,,,,"Ecosite phase g1
(Labrador tea-subhygric Sb-Pj)
-10% of plots have >80 cm organics Ecosite phase h1
(Labrador tea/horsetail Sw-Sb)
-20% of plots have >40 cm organics
-Lack of Larix laricina within the recognized plant community is more suggestive of bog vegetation
Ecosite phase f3
(White spruce (Sw)/ /horsetail)",,,,,,,"Ecosite phase f1 (Horsetail Sw)
-",,,,,,Ecosite phase d3 (Horsetail Sw),,,,,,,,,Not recognized,,,,,
Mixedwood Wooded Swamp,,,,,"Ecosite Phase f2
(Balsam poplar (Pb)–white spruce (Sw) /Horsetail)",,,,,,,Ecosite phase g1 (Labrador tea-hygric Sb-Pj),,,,,,"Ecosite phase e1 (Labrador tea-hygric Sb-Pl)
-50% of plots have >80 cm organics
Ecosite phase d2 (Horsetail Aw-Sw)",,,,,,,,,Ecosite phase e2 (Willow/horsetail Aw-Sw-Sb,,,,,
Deciduous Wooded Swamp,,,,,Ecosite phase f1 (Horsetail Pb-Aw),,,,,,,Not recognized,,,,,,Ecosite phase d1 (Horsetail Pb-Bw),,,,,,,,,Ecosite phase e1 (Willow/horsetail Aw-Bw-Pb),,,,,
Shrubby Swamp,,,,,"Ecosite phase j2 (Shrubby poor fen)
-30% of plots <40 cm organics
Ecosite phase k2 (Shrubby rich fen)
-50% of plots <40 cm organics",,,,,,,Not recognized,,,,,,"Ecosite phase h2 (Shrubby rich fen)
-100% of plots have <40 cm organics",,,,,,,,,"Ecosite phase g2 (Shrubby poor fen)
-100% of plots <40 cm organics
Ecosite phase h2 (Shrubby rich fen)",,,,,
