Common name,Scientific name,Life span,Origin,Grazing response,Forage value,Stratum
Alkali cord grass,Spartina gracilis,Perennial,Native,Increaser,Poor,Graminoid
Alpine timothy,Phleum alpinum,Perennial,Native,Decreaser,Good,Graminoid
Awned wheatgrass,Agropyron trachycaulum var. unilaterale,Perennial,Native,Increaser,Good,Graminoid
Bearded wheatgrass,Elymus caninus,Perennial,Introduced,Invader,Good,Graminoid
Bluebunch wheatgrass,Agropyron spicatum,Perennial,Native,Decreaser,Good,Graminoid
Blue grama,Bouteloua gracilis,Perennial,Native,Increaser,Good,Graminoid
California oat grass,Danthonia californica,Perennial,Native,Increaser,Good,Graminoid
Canada bluegrass,Poa compressa,Perennial,Introduced,lnvader,Good,Graminoid
Canada wild rye,Elymus canadensis,Perennial,Native,Decreaser,Good,Graminoid
Canby bluegrass,Poa canbyi,Perennial,Native,Increaser,Good,Graminoid
Cheat grass/downy brome,Bromus tectorum,Annual,Introduced,lnvader,Poor,Graminoid
Columbian needle grass,Stipa columbiana,Perennial,Native,Decreaser,Good,Graminoid
Common reed,Phragmites australis,Perennial,Native,Decreaser,Fair,Graminoid
Creeping red fescue,Festuca rubra,Perennial,Introduced,lnvader,Good,Graminoid
Crested wheatgrass,Agropyron pectiniforme,Perennial,Introduced,lnvader,Good,Graminoid
Early bluegrass,Poa cusickii,Perennial,Native,lncreaser,Good,Graminoid
False melic,Schizachne purpurascens,Perennial,Native,Increaser,Poor,Graminoid
Foothills rough fescue,Festuca campestris,Perennial,Native,Decreaser,Good,Graminoid
Fowl bluegrass,Poa palustris,Perennial,Native,Decreaser,Good,Graminoid
Fowl manna grass,Glyceria striata,Perennial,Native,Decreaser,Good,Graminoid
Foxtail barley,Hordeum jubatum,Perennial,Native,lnvader,Poor,Graminoid
Fringed brome,Bromus ciliatus,Perennial,Native,Decreaser,Good,Graminoid
Giant wild rye,Elymus piperi,Perennial,Native,Decreaser,Fair,Graminoid
Green needle grass,Stipa viridula,Perennial,Native,Decreaser,Good,Graminoid
Hairy wild rye,Elymus innovatus,Perennial,Native,lncreaser,Good,Graminoid
Hooker’s oat grass,Helictotrichon hookeri,Perennial,Native,Decreaser,Fair,Graminoid
Idaho fescue,Festuca idahoensis,Perennial,Native,lncreaser,Good,Graminoid
Indian rice grass,Oryzopsis hymenoides,Perennial,Native,Decreaser,Good,Graminoid
Intermediate oat grass,Danthonia intermedia,Perennial,Native,Increaser,Good,Graminoid
Intermediate wheatgrass,Agropyron intermedium,Perennial,Introduced,Invader,Good,Graminoid
June grass,Koeleria macrantha,Perennial,Native,lncreaser,Good,Graminoid
Kentucky bluegrass,Poa pratensis,Perennial,Introduced,lnv./Intro’d,Good,Graminoid
Little bluestem,Schizachyrium scoparium,Perennial,Native,lncreaser,Poor,Graminoid
Bluejoint,Calamagrostis canadensis,Perennial,Native,Decreaser,Fair,Graminoid
Mat muhly,Muhlenbergia richardsonis,Perennial,Native,Increaser,Fair,Graminoid
